Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
Crossing_F1eld,656231968,2024/11/08,706,498400,y,Notable,,,Comic Thwack,"2nd Place Trophy | Prime Award | Fluffy Bunny | Giga Award | Stupendous Award | Epic Award | Bobo the Picnic Bear | 1st Place Trophy | 3rd Place Trophy | Prodigious Award | Festive Teddy",032
Apple_Fact0ry,300626876,2025/02/24,672,451237,y,,,,,"Snowball Cannon | Otherworldly Sceptre | Ghost Potion | Torch | Bauble Detector | Staff of the Woodlands",554
W0L_F,49905120,2025/02/28,649,421185,y,,,Bunny Egg,Drop Stars,"2nd Place Trophy | Valentine’s Throwing Stars | Super Slash Cat Claws | A Very Special Monster | Hand Cannon | Snowball Cannon | Bauble Detector | Frost Potion | Starblox Latte | Epic Award",840
Lilkasiedeli,371527859,2024/09/12,582,338666,y,Leader,Butterflies,Bambu the Red Panda,Zero Gravity Ragdoll,"Otherworldly Sceptre | Megagavel | Bighead Potion | Stupendous Award | Staff of the Woodlands | Metal Guitar",616
Outontheterrace,163288176,2025/03/13,569,323712,y,,,,,"2nd Place Trophy | Prime Award | Shark Launcher | Scrumptious Award | Uber Award | 1st Place Trophy | Opulent Award | Anti Award",840
mqrtirio,378639238,2025/01/20,548,300579,y,,,,Disconnect,"Laser Finger Pointers | Shark Launcher | Otherworldly Sceptre | Liberty Torch | Megagavel | Bighead Potion | Stop Hitting Yourself | Snowman Gun | Staff of Neverending Frost | Princess Sceptor | Big Flower | Staff of Sparks | Festive Plungers | Clown Gun | Slurpee | Heart Balloon | Spray Paint | Festive Teddy | TOMATOES! | Korblox Deathspeaker's Spell Book | Squid Launcher | Snowball Cannon | Bauble Detector | Sakura Parasol | Pumpkin Gun | Dragonshead Cannon | Kittypult | Double Cheezburger | The Celebrator | AFK Sign | Frosted Santa | Metal Guitar | Ceramic Potion | Speech Bubble | Ultra-Flat Spray Paint | Selfie Stick | Shade Potion | Slushie | Soul Lantern | Protest Sign: Noobs | Shuriken | Paint Grenade | Staff of the Woodlands",604
a3clx,1331704563,2024/06/17,543,295314,y,,,,,"Metal Detector | Egg Hammer | Epic Popper | Stop Hitting Yourself | Sign: This Is Epic | Princess Sceptor | AFK Sign | Opulent Award | Snowman Gun | Clown Gun | Slurpee | Rainbow Fireworks",840
Krxzoever,1229532354,2024/12/15,532,283199,y,,,,Disappear,"Stop Hitting Yourself | Clown Gun | Snowball Cannon | Bauble Detector | Earth Horn | Staff of the Woodlands | Metal Guitar | Dragonshead Cannon | Mega Mallet",604
z7nns,472284687,2025/03/13,514,264528,y,,,,Explode,"Anti Award | Shark Launcher | Scrumptious Award | 3rd Place Trophy | Giga Award | 1st Place Trophy | Opulent Award | Uber Award",840
k6vri,125294730,2024/07/02,509,258975,y,Redeemer,,Bowbelle,,"Panda Friend | Megagavel | Dance Grenade | Egg Locater | Stardust Mooncaster | Liberty Torch | Protest Sign: Touch Grass | Sakura Parasol | Killer Whale Launcher | Pest Hammer | Staff of the Woodlands | Protest Sign: Blame John | Boba Tea | Pink Coconut Drink | Fluffy Bunny | Big Flower | Ultra-Flat Spray Paint | TypicalToype | Bunch of Balloons | Spray Paint | Festive Teddy",840
wiIdflowered,426442554,2025/02/24,502,252081,y,Ethereal,Cosmology,Shiny Star,Confetti Explosion,"Vine Staff | Korblox Deathspeaker's Spell Book | 4-String Roblocaster | Kittypult | Boba Tea | Mega Mallet | Beach Gun | Liberty Torch | Lollipop Cat | Sakura Parasol",840
