Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
heartdescent,186176506,2024/08/26,40,1617,n,,Floating Flower,,Explode,"Foam Finger | Wooden Sword | Egg Locater | Cherry Pie | Torch | Bugle | Teddy Bloxpin | Chocolate Milk | Starblox Latte",554
milkycocopuffsyo,339973216,2025/01/24,40,1617,n,Humble,Butterflies,,,"Spinning Robot Helmet | Panda Friend",840
xBl4ck_Moonx,1633441879,2024/12/16,40,1616,n,,,,Ragdoll,"Stop Hitting Yourself | Green Epicsauce | Megagavel | Protest Sign: Noobs | Magical Umbrella | Dance Potion | Chocolate Milk | Panda Friend | Teddy Bloxpin",040
ch444rli,116292758,2024/12/28,40,1616,y,,Shadow Feet,,Curse,"Snowball | Icicle Cannon | Monster Mash | Brighteyes's Sparkling Shillelagh | Bauble Detector | Red Pirate Juice | Snowball Cannon | Pest Hammer | Yellow Snowball | Shrunken Head | Inflatable Saxophone | Gravity Gun | Big Flower | Ultra-Flat Spray Paint | Green Balloon | BANG!",840
enchantimalslena,961774544,2025/01/05,40,1616,n,Adventurer,,,Disco,"Snowball | Otherworldly Sceptre | Bauble Detector | Teddy Bloxpin | Pizza | Ancient Firecracker | Starblox Latte | Big Flower",826
BenWibbTV,874786001,2024/08/11,40,1616,n,Cupid,Caution Crazy,Valentine's Bear,Disappear,"Alpaca Plushie | Exploding Heart | Party Horn | Confetti Cannon",036
Kip1Rein,893159546,2024/09/21,40,1616,n,,,,Ghost,"R-80 | Green Epicsauce | Chocolate Milk | Roblox Snowglobe",643
awh_louise,1004397630,2025/02/01,40,1616,n,Cute,Black sparkles,Arctic Wolf,Drop Stars,"Panda Friend | Chicken Gun | Noob Pop | Dance Potion | Bandit Dog | Science Project: Volcano | Stop Hitting Yourself | Big Flower | Crab Horde | Ceramic Potion | Winter Snowfall | Hot Chocolate | Jingle Bells | Item of Sentiment",826
xMAHgAPuHKAx,2211688262,2024/09/15,40,1616,n,Epic,Illuminati,Satellite,,"Egg Locater | Ultra-Flat Spray Paint | Red Stratobloxxer | Ancient Firecracker | Chick Horde | Hot Chocolate | Protest Sign: Noobs | Torch | Ra'k Guitar | Monster Mash | Pest Hammer | Saxophone | Metal Guitar",643
admyme,2201361560,2024/12/31,40,1616,n,,,,Ascend,"Stop Hitting Yourself | Slush Cannon | Egg Locater | Teddy Bloxpin | Chocolate Bunny | Bauble Detector | Chocolate Milk",752
m8srry8,964267034,2024/09/26,40,1616,n,Demigod,,,Explode,"",840
GoldenPrincess81,365046696,2024/11/23,40,1615,n,:-),,,,"Stop Hitting Yourself | Throwing Spork | Snowball | Face Off Potion | Christmas Cookie | Bloxxy Radar | RedBLOX | Bloxilicious Bubble Gum | Didgeridoo",840
0020miaaa,466525870,2025/01/30,40,1615,n,,,Alpaca,Drop Stars,"Stop Hitting Yourself | Cymbals | Snowball | Inflatable Saxophone | Apple Pie | Shark Launcher | Rolling Pin | Snowball Cannon | Bauble Detector | Flute | Protest Sign: Noobs | Bighead Potion | Starblox Latte",826
Monina1,148417575,2024/07/10,40,1615,n,,Steam Ring,Ocelot,Ghost,"Fake C4 | Spray Paint | Ancient Firecracker | Fortune Telling Eight Ball | Clown Bomb",348
0qNell,1058616405,2024/10/12,40,1615,n,Eggy,,Cat,Ghost,"Lightblox Jar | Clown Bomb | Noob Pop | Saxophone | Metal Guitar",203
mxxnszz,416621155,2024/11/28,40,1615,y,:-),Purple Lightning Storm,Brilliant Crown,Zero Gravity,"Dragonshead Cannon | Staff of the Woodlands | Flower Feet | Pest Hammer",036
sawvwy,206415102,2024/12/29,40,1615,y,Evil,,,Ascend,"Laser Finger Pointers | Starfish",840
SuperFlash_V303,537273778,2024/05/28,40,1615,n,Alien,UFOs,Jellyfish,Explode,"Dragonshead Cannon | Cherry Pie | Torch | Flower Feet | RedBLOX | Panda Friend | Starblox Latte | Slingshot",826
ImfrmNyc,136782581,2024/04/28,40,1615,n,Silent,,,,"Epicsauce | Drone | Fortune Telling Eight Ball | Disguise Watch | Torch | Dragonshead Cannon | Rolling Pin | BANG! | Moonwalk Potion | Stop Hitting Yourself",840
Mikespartyyeah,3383247818,2025/03/13,40,1615,n,Audacious,,,Disappear,"Stop Hitting Yourself | Banana Peel | Santa | Bunch of Balloons | Pest Hammer",276
