Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
wiichis,1716665830,2024/08/10,53,2764,y,Nametag,,Star Buddy,The Claw,"Epicsauce | RedBLOX | Mega Mallet | Metal Guitar | Anubis Staff | BANG! | Bonk Bat | Item of Sentiment | Staff of the Woodlands",840
CandyCraze50,172464091,2024/10/20,53,2764,y,Eggceptional,Easter Eggs,LOLHOO,Eggify,"Soul Lantern",840
Certifiedfavorite,729295777,2024/06/27,53,2763,n,,,Hampter,Skeletonize,"Disguise Watch | Torch | Skull Gun",840
chettos09,1329386028,2024/12/29,53,2763,n,Frosty,North Star,Gingerbread Man,Skeletonize,"Snowman Gun | Staff of Neverending Frost | Snowball Cannon | Jack Frost | Pest Hammer",484
pingpopby,2546018474,2025/02/02,53,2763,n,Princess,Sprinkling Snowflakes,Lost Animal,Ragdoll,"Protest Sign: Save the Noobs | Staff of the Woodlands | Tiger Warrior Club | Ultra-Flat Spray Paint",764
Queen_chilena,883217958,2024/08/24,53,2762,n,shrugface,,,Explode,"Stop Hitting Yourself | Laser Finger Pointers | Cake | Neon Laser Launcher | Clown Bomb | Monster Mash | Frying Pan | Science Project: Potato | Basketball | Dance Potion | Item of Sentiment | Pest Hammer | Dragonshead Cannon | Ancient Firecracker | Exploding Heart | Egg Locater | Frost Potion | Red Stratobloxxer | Ink Launcher | Ultra-Flat Spray Paint | Pizza | Hot Dog | Teddy Bloxpin | Magical Umbrella | Epicsauce | Chicken Gun | BANG! | Saxophone | Paint Grenade",152
gtc8,175325757,2024/09/24,53,2762,n,INSOMNIAC,Hot Headed,Little Python,Shark Attack,"Neon Laser Launcher | Ham Bone",702
mhh_ryu,3247923685,2024/12/16,53,2762,n,INSOMNIAC,Musical Notes,Scorpion,Curse,"Metal Detector | Pest Hammer | Science Project: Potato | Snowball Cannon | Halloween Sparkler | Bauble Detector | Big Flower | Flower Feet | Pom-Poms | Pumpkin Gun",380
UnreaIMyth,1377172203,2024/10/14,53,2762,n,Ionic,Purple flame,,Lightning,"Stop Hitting Yourself | Killer Whale Launcher | Megagavel | Ghost Potion | Dragonshead Cannon | Staff of the Woodlands",840
cataxd_lol1,1984784939,2025/02/25,53,2762,n,Wonky,Colourful Fireworks,Tall Friend,Skeletonize,"Annoying Elf | Alpaca Plushie | Valentine’s Throwing Stars | Eggshot | Otherworldly Sceptre | Bighead Potion | Tambourine | Bundle of TNT | Big Flower | RoVacuum | RedBLOX | Spell Book of Ice Cold Revenge | Starfish | Protest: More Gear Nao | Frost Potion | Tee Shirt Cannon | Magical Umbrella | Ticket Launcher | War Rocks | Bacon Launcher | Noob Hot Chocolate | Pest Hammer | Spider Flinger | Double Cheezburger | Boxing Glove Launcher | Shade Potion | Teddy Bloxpin | Metal Guitar | Selfie Stick | Ancient Firecracker | Christmas Tree Lights | Stop Hitting Yourself | Hypnocannon | Princess Mischief's Wand",152
CrystalLovesPusheen,1144698601,2024/12/07,53,2762,n,Cute,Sprinkling Snowflakes,Sophisticated Bat,Avalanche,"Dragonshead Cannon | Speech Bubble | Crab Horde | Big Flower | Clown Gun | Shade Potion | Ink Launcher | Green Epicsauce | Pest Hammer | Staff of the Woodlands",702
itz_zoewgf10,2699320870,2024/07/05,53,2761,n,.,Red flame,Skeleton Cat,,"Magical Umbrella | Item of Sentiment | Saxophone",380
unknown_galaxy08,909303264,2025/03/13,53,2761,n,Silly,Healing Pulse,Ne'Kotikoz Incarnate,Abduct,"Winsome Wizard Wand | Fake C4 | Protest Sign: Save the Noobs | Stop Hitting Yourself | Cymbals | Dragonshead Cannon | Green Epicsauce | Rainbow Fireworks",840
smilemachine10,126937735,2024/09/07,53,2760,n,Eggceptional,Floating Flower,Wally the Wombat,Skeletonize,"Chicken Gun | Noob Pop | Flower Feet | Silly Guitar | Big Flower | Bighead Potion | Whoopee Cushion | Squid Launcher | Staff of the Woodlands",124
hjsiwjas,2405186528,2024/10/25,53,2760,n,Demigod,Corrupted Aura,Yellow Soul,Curse,"Pest Hammer | Soul Lantern",840
x_cloudy19k,2060242989,2024/07/23,53,2760,n,,,Skeleton Cat,Disappear,"Epicsauce | Egg Locater | Basketball | Rolling Pin | Stop Hitting Yourself | Shuriken | Teddy Bloxpin | Chocolate Milk | Saxophone | Big Flower",826
vurelix,147076272,2024/11/08,53,2760,n,)-:,,,,"Staff of the Woodlands | Drone | Teddy Bloxpin | Spray Paint | Lightblox Jar | Didgeridoo",840
LEMcw,609731831,2024/12/17,53,2760,n,Snowman Title,Global Snowglobe,Santa's Sleigh,Top of Tree,"Ham Bone | Neon Throwing Stars | Squid Launcher | Snowball Cannon | Bauble Detector | Frosted Santa | Hot Chocolate | Staff of the Woodlands | Pumpkin Gun | Big Stick",826
