Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
Jula_x,656635338,2024/10/22,90,8036,y,,,,Disco,"Stop Hitting Yourself | Beach Gun | Staff of the Woodlands",616
the0masked0angel1010,1450847587,2024/10/20,90,8035,y,,Yellow Ringed,,Abduct,"Epicsauce | Pest Hammer | The Christmas Creep",840
Eurovioo,4757166333,2025/01/27,90,8035,n,,Shine,,Water Drop,"Big Flower | Starfish | Bighead Potion | Staff of the Woodlands | Stop Hitting Yourself | Snowman Gun | Pom-Poms | Spell Book of Ice Cold Revenge",780
LordFartAlott,105159940,2025/01/18,90,8032,n,Glimmering,,Jerry the Jellyfish,Baublify,"Kittypult | Mega Mallet | Balloon Sword | Korblox Deathspeaker's Spell Book | Seranok's Golden Chalice of Fame | Dozens of Dinosaurs | Pumpkin Staff",608
Jkysanz,3043466994,2025/02/14,90,8032,y,Benevolent,Golden Rays,Winter Fairy,Lightning,"Otherworldly Sceptre | Clown Gun | Tee Shirt Cannon | Pool Noodle | Mega Mallet | Hand Cannon | Necromancer Staff",604
kitycat_loll,1169968992,2024/09/29,90,8027,n,Fearless,Lightning Storm,Star Buddy,Burn,"Alpaca Plushie | Carnagecopia | Otherworldly Sceptre | Chocolate Milk | Epicsauce | Red Stratobloxxer | Fake C4 | Squid Launcher | Pest Hammer | Staff of the Woodlands | Magical Umbrella | Noise Maker | Wooden Sword | Stop Hitting Yourself | R-80 | Flute | Protest Sign: Noobs | Clown Bomb",300
4ulix,947571488,2025/03/02,90,8027,n,.,,,Zero Gravity Ragdoll,"Big Flower | Clown Gun",682
punkktopia,3473512470,2025/03/06,90,8027,y,Bold,Rainbow Sparkles,,Cupid's Arrow,"Ice Cream | Berry Sweet Boba | Slushie | Epicsauce | Flower Crossbow | Big Flower",840
hellavika,16450021,2024/06/06,90,8025,y,,,,Top of Tree,"Science Project: Potato | Egg Locater | Otherworldly Sceptre | Bauble Staff | Slush Cannon | EPIC Stamper | Bonk Bat | Science Project: Volcano | Squid Launcher | Big Flower",124
leiiplo,4357245287,2025/02/02,90,8025,n,Geek,,Swamp Monster,Ascend,"iLift Three | Megagavel | Starfish | Witches Brew | Robo Companion | AFK Sign | Magical Umbrella | Staff of the Woodlands | Pink Coconut Drink",554
kxmd0ll,89510459,2025/03/01,90,8023,y,Nametag,Shine,Baby Lamb,Cupid's Arrow,"Neon Laser Launcher | Banana Peel | Disguise Watch | Super Slash Cat Claws | Decoy Deploy | Sign: This Is NOT Epic | Megagavel | Binoculars | Stop Hitting Yourself | Cake | Chick Horde | Big Flower | Mega Mallet | RoVacuum | Whoopee Cushion | Pom-Poms | Protest Sign: Noobs | Flashbang | Punk Wrist Cuff | Fluffy Bunny | Powerful Paintbrush | Lollipop Cat | Beach Gun | Berry Sweet Boba | Subspace Debonair Disguise | Starfish | Protest Sign: Touch Grass | Metal Guitar | Love Hurts Ray Gun | Skull Gun | Pumpkin Gun | Clown Gun | Snowman Gun | Selfie Stick | Hand Cannon | Princess Mischief's Wand",840
