Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
hauntedvow,1516344100,2025/02/12,57,3297,y,Sk8r,Pink Smoke,Friendly Raccoon,Comic Thwack,"Selfie Stick",840
jj_roblox21ae,1773698526,2024/10/14,57,3297,n,Myth,Blue sparkles,,Zero Gravity Ragdoll,"Dance Potion | Monster Mash | Otherworldly Sceptre | Chameleon Potion | Paint Grenade | Ham Bone | Green Epicsauce | Christmas Tree Launcher",170
mhernandez92,180699424,2024/11/17,57,3297,n,,,,,"Dragonshead Cannon | Pirate Juice",840
sunshinee8,281815702,2024/08/08,57,3297,n,skulls,Steam Ring,,Ascend,"Dragonshead Cannon | Lightblox Jar | Fake C4 | Red Stratobloxxer | Disguise Watch | Bighead Potion | Magical Umbrella | Protest Sign: Noobs | Monster Mash | Saxophone | Staff of the Woodlands",840
funnybuns2345,1500128617,2024/12/20,57,3297,n,Frosty,,,Freeze,"Megaphone",840
XxJustSamantha88xX,538018163,2024/12/18,57,3297,n,Atomic,Atoms,,Shark Attack,"Chicken Gun | Snowball Cannon | Rainbow Fireworks | Squid Launcher | Bauble Detector | Green Epicsauce | Moneybag | Science Project: Volcano | Staff of the Woodlands",608
DeBoerMathijs,278648116,2024/10/04,57,3296,n,,,,Gravestone,"Otherworldly Sceptre | Staff of the Woodlands",528
ifejfor80,1679985058,2024/12/19,57,3296,n,Hyperborean,Pink Smoke,Pink Axolotl,Disappear,"Snowball Cannon | Bauble Detector",356
Witchingrosee,1657589699,2024/10/13,57,3296,n,Awake,The Red Strange,,Burn,"Monster Mash | Saxophone | Bloxxy Radar | Pinata Bat | Starfish | Flower Crossbow | Big Flower | Starblox Latte | Science Project: Potato | Didgeridoo",826
kii_rbyy,81659239,2024/12/17,57,3296,n,:-),,Festive Cookie,The Claw,"Stop Hitting Yourself | Teddy Bloxpin | Green Epicsauce | Throwing Spork | Pest Hammer | Snowball Cannon | Staff of the Woodlands",124
PhantomHartt,877757037,2024/10/18,57,3295,n,Untouchable,,,Comic Thwack,"Shark Launcher | Mariachi Guitar | Bighead Potion | Yellow Snowball | Cake | Sea Sorcerer Staff | Ham Bone | Tambourine | Robo Companion | Noob Pop | Ghost Potion | Hedgehog Friend | Tiger Warrior Club | Magical Umbrella | Noob Hot Chocolate | Science Project: Volcano | Waffle | Piggybank | Giant Ninja Star | Speech Bubble | Metal Guitar | Confetti Cannon | Game Studio Executive Briefcase | Punk Wrist Cuff | Torch",840
fidiquiti_xD2,1177723012,2025/02/22,57,3295,n,.,,Suspicious Present,Lightning,"Annoying Elf | Staff of the Woodlands | Staff of Neverending Frost | The Midas Glove | Slush Cannon | Snowball Cannon | Soul Lantern | Megagavel",484
horsecrazypuppy,229759906,2024/06/11,57,3295,n,,,Rainbow Phoenix,,"Stop Hitting Yourself | Witches Brew | Rainbow Fireworks | Chameleon Potion | Saxophone | Flower Feet | Starblox Latte | Lightblox Jar",124
t1nymimi,2460082969,2024/05/30,57,3295,n,,Floating Flower,Valentine's Bear,,"Megagavel | Pumpkin Gun | Boba Tea",484
SunnyA7,490278049,2024/07/10,57,3295,n,Captain,,Bunny Egg,Ragdoll,"Stop Hitting Yourself | Green Epicsauce | Chameleon Potion | AFK Sign | Staff of the Woodlands | Disguise Watch | Metal Detector | Epicsauce",840
Skilar2008,415174464,2024/12/23,57,3295,n,.,Global Snowglobe,,Drop Stars,"Bouquet of Pain Throwing Stars | Frosted Santa | Bauble Detector | The Celebrator | Snowball Cannon | Otherworldly Sceptre | Chimp Friend | Chocolate Milk",484
Princess_NyaLove,344743468,2024/11/25,57,3295,n,Princess,Ghost Ring,Rat,Explode,"Winter Snowfall | Egg Locater | Staff of Sparks | Silly Guitar | Stop Hitting Yourself | Throwing Barrel | Bugle | Exploding Heart | Alpaca Plushie | Marching Drum | Shark Launcher | Dance Potion | Metal Guitar",840
ysha0,173201441,2024/10/18,57,3294,n,,,,Electrocute,"Brighteyes's Sparkling Shillelagh | Staff of the Woodlands | Skele-tar | Flowersplosian | Bighead Potion",840
Reahpurr,152479021,2024/11/13,57,3293,n,Worthless,Feeling Down,Bunny Egg,Comic Thwack,"Annoying Elf | Haunted Pizza | Disguise Watch | Brighteyes's Sparkling Shillelagh | Chocolate Milk | Saxophone | Staff of Neverending Frost | Space Sandwich | Crab Horde | Christmas Tree Launcher | Slush Cannon | Witches Brew | Misfortune Cookie | April Showers | Chocolate Bunny | Monster Mash | Electric Blue | Jack Frost | Noob Hot Chocolate | Pest Hammer | Science Project: Potato | Pumpkin Bucket | Flowersplosian | Bugle | Magical Umbrella | Face Off Potion | Winter Snowfall | Ultra-Flat Spray Paint | Selfie Stick | Latke | Green Epicsauce | Soul Lantern | Protest Sign: Noobs | Tom's Beans | Ra'k Guitar | Rainbow Fireworks",554
