Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
PenguinTacoDJ,2479613945,2025/02/10,42,1737,n,Bri'ish,,,Curse,"Stop Hitting Yourself | Bloxilicious Bubble Gum | Foam Finger | Taco | Pumpkin Bucket | Dragonshead Cannon | Fortune Telling Eight Ball | Soul Lantern | Chocolate Milk | Staff of the Woodlands",826
wanderlustx,5885671,2024/08/14,42,1737,n,Lovely,Love Aura,Bunny Egg,Lovely Explosion,"Beach Staff | Otherworldly Sceptre | Clown Bomb | Love Hurts Ray Gun | Alpaca Plushie | Pest Hammer | Saxophone",826
Itz_Jo10,870842131,2024/12/19,42,1737,n,,,,,"Stop Hitting Yourself | Bauble Detector | Otherworldly Sceptre | Green Epicsauce | Pest Hammer | BANG!",124
pippsqueakxx,1939658564,2024/10/20,42,1737,n,Introvert,Watchful Eye,Spectral Spider,Ascend,"Shade Potion | Soul Lantern | Stop Hitting Yourself | Pest Hammer",124
moons_lights,1075713761,2025/03/02,42,1737,y,Heartbroken,,,Cupid's Arrow,"Laser Finger Pointers | Teddy Bloxpin | Snowball Cannon | Berry Sweet Boba | Ticket Launcher | Pest Hammer | Saxophone",840
blakeyelfpoop,1611487593,2024/08/17,42,1737,n,.,,,The Claw,"Bandit Dog",840
clicheamanda,131758196,2024/10/06,42,1737,y,:-),Leaves,Royal Frog,Drop Stars,"Misfortune Cookie | Disguise Watch | Big Flower | Pest Hammer | Dance Potion | Staff of the Woodlands",840
SHARATHSONIC,19959637,2024/11/08,42,1737,n,INSOMNIAC,Lich Aura,Epic Egg,Pause,"Stop Hitting Yourself | Monster Mash | Red Foam Finger | Pumpkin Gun | BANG! | Hand Cannon | Otherworldly Sceptre",356
kitt3yxgi0,656067687,2025/02/17,42,1737,n,skulls,,Penguin,Balloon,"Stop Hitting Yourself | Fortune Telling Eight Ball | Metal Detector | Epicsauce | Exploding Heart | Tambourine | Big Flower",076
sunflower98765,108659509,2024/05/21,42,1737,n,Pro,Hearts,Fluffy Unicorn,,"Spray Paint | Staff of the Woodlands | Pumpkin Bucket | Foam Finger | Ghost Bag | Clown Bomb",840
gncuvv,515086659,2024/07/15,42,1737,n,,Hearts,,,"Stop Hitting Yourself | R-80 | Roblox Snowglobe | Marshmallow Chirp | Monster Mash",840
