Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
canttuchdis11,1724857592,2024/11/20,35,1219,n,NPC,Head in the Clouds,Overseer Eye,Pause,"Basketball | Misfortune Cookie | Annoying Elf | Frosted Santa | Noob Pop | Monster Mash | Squid Launcher | Bandit Dog | Otherworldly Sceptre | Metal Detector | Jack Frost | Magical Umbrella | Noob Hot Chocolate | Pest Hammer | Saxophone | Helen The Hiphipapotamus | Science Project: Potato | Pool Noodle | Party Horn | Whoopee Cushion | Jingle Bells | Bauble Staff | Inflatable Saxophone | Pumpkin Bucket | Starfish | Confetti Cannon | Staff of Neverending Frost | Tambourine | Bundle of TNT | 8-Bit Ninja Stars | Spray Paint | Big Flower | Rolling Pin | The Fiery Sun | Christmas Tree Launcher | Selfie Stick | Slush Cannon | R-80 | Ghost Bag | Item of Sentiment | Shark Launcher | Snowball Launcher | Green Epicsauce | Slushie | Pom-Poms | Tiger Warrior Club | Snowball | Frisbee",344
NutStanl3y05,311801162,2024/07/06,35,1219,n,Cute,Wisps,,Burn,"The Fiery Sun | Otherworldly Sceptre | R-80 | Magical Umbrella",608
skitzotypal,7480007474,2025/02/22,35,1219,n,Comical,,Rat,,"Bloxilicious Bubble Gum | Torch | Teddy Bloxpin | Super Slash Cat Claws | Bighead Potion",392
no165416,3031520491,2024/09/06,35,1219,n,,Watchful Eye,Spectral Spider,Drop Coins,"Stop Hitting Yourself | Otherworldly Sceptre | Pest Hammer | Starfish | Big Flower",392
bigbigbiglittlebear,1915701014,2024/10/27,35,1219,n,,,,Spaghettificate,"Metal Detector | Bloxxy Radar",076
o0Thelonelywolf0o,259084823,2024/12/23,35,1219,n,Unique,,,Disappear,"",484
thatswackreagan,729839779,2024/11/25,35,1219,n,Princess,,,The Claw,"Teddy Bloxpin | Shark Launcher | Ink Launcher",840
polishbearlovesshep2,4198459028,2025/01/10,35,1219,n,Artist,Confused,Cat,Bouncy,"Frying Pan | Bacon Frying Pan | Bloxxy Radar | Stop Hitting Yourself | Protest Sign: Pro Fake Mustache | Tambourine | Ticket Launcher | Ra'k Guitar | Rainbow Fireworks",826
Kemkem245,1433742564,2025/02/20,35,1219,n,Captain,Skulls,Blorb,Camouflage,"Witches Brew | Misfortune Cookie | Chocolate Bunny | Clown Bomb | Whoopee Cushion | Marshmallow Chirp | Goblet | Bloxiade | Compass | Santa | Christmas Cookie | Ice Cream | Tom's Beans | Bauble Detector | Chocolate Milk | Flute | Face Off Potion | Taco | Metal Detector | Watermelon | Protest Sign: Noobs | Hot Dog | Pirate Juice | BANG! | Spray Paint | Starblox Latte | Foam Finger",840
4F2vWbot,2335606425,2024/09/23,35,1219,n,.,,Epic Pumpkin,Pop,"Ham Bone | Pest Hammer",826
Fercita1305,481810118,2024/10/10,35,1219,n,Ghostly,,,,"Magical Umbrella | Misfortune Cookie | Starblox Latte | Ghost Bag | Bloxxy Radar",604
youngsunshine,77603080,2024/05/21,35,1219,n,Legend,,8-bit Frog,Drop Coins,"Stop Hitting Yourself | Red Stratobloxxer | R-80 | Flower Feet | Protest Sign: Noobs",840
minecraftkaas,295796384,2025/01/25,35,1219,n,Eggcellent,Egg Trio,Epic Egg,Baublify,"Icicle Cannon | Bag O Christmas Tree Seeds | Bauble Detector | Hypnocannon | Pumpkin Gun | Staff of the Woodlands | Steampunk Zapper | Eggstaff | Snowman Gun | Staff of Neverending Frost | Mega Mallet | Hand Cannon | Snowball Cannon | Ra'k Guitar | Spell Book of Ice Cold Revenge",528
D2SIIRE,2214935080,2024/07/06,35,1219,y,Nametag,,Little Penguin,,"Witches Brew | Misfortune Cookie | Snowball | Panda Friend | Christmas Tree Lights | Throwing Barrel | Christmas Cookie | Compass | Red Pirate Juice | Pizza | Red Foam Finger | Taco | Protest Sign: Touch Grass | Flower Feet | Torch | Pirate Juice | Bonk Bat | Chocolate Milk | Starblox Latte | Staff of the Woodlands | Epicsauce | R-80 | Bloxxy Radar | Tom's Beans | Whoopee Cushion | Roblox Snowglobe | Waffle | Pumpkin Bucket | Ice Cream | Smore | Marshmallow Chirp | Tambourine | Bloxiade | Stop Hitting Yourself | Santa | Cowbell | Rolling Pin | Protest Sign: Noobs | Goblet | Item of Sentiment | Red Stratobloxxer | Latke | Noise Maker | Face Off Potion | Watermelon | Bugle | Christmas Tree Launcher | Foam Finger | Teddy Bloxpin | BANG! | Hot Dog | Lightblox Jar",840
Ioveconspiracy,109328834,2024/06/20,35,1219,n,Wealthy,,Cat,Explode,"Witches Brew | Tom's Beans | Foam Finger | Ice Cream | Pirate Juice | Torch | Chocolate Milk | Roblox Snowglobe | Bloxxy Radar",840
AngeI0fGrief,135936403,2024/07/23,35,1219,n,Legend,,Cat,,"Witches Brew | Laser Finger Pointers | Foam Finger | Clown Bomb | Ice Cream | Goblet | Teddy Bloxpin | Wooden Sword | Frost Potion | Bunch of Balloons | Spray Paint | Hot Dog | Torch | Spinning Robot Helmet | Magic Dragon | Chocolate Milk | Starblox Latte | Marching Drum",840
BlossomingBravery,200455962,2024/07/01,35,1219,n,Brave,Ethereal Mist,Earth,Petrify,"Bloxilicious Bubble Gum | Basketball | Cake | Snowball | Foam Finger | Big Stick | Goblet | Item of Sentiment | Giant Ninja Star | Starblox Latte | Rolling Pin | Tom's Beans | Egg Locater | Drone | Moneybag | Ra'k Guitar | Flute | Watermelon | Frost Potion | Slurpee | Pirate Juice | Latke | Spray Paint | Saxophone | RedBLOX",840
