Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
iceman83,840,2024/09/01,2,4,n,,,,,"",840
Luke Sky walker,6616,2024/06/04,3,10,n,,,,,"Goblet",826
KappaKing,17622,2024/09/16,23,532,n,,,,,"Big Flower | Pest Hammer",840
Great_KingOfEvil,27367,2025/03/04,4,18,n,,,,,"",124
Han,58382,2025/01/12,3,8,n,,,,,"",840
sk8r,58861,2024/10/26,24,593,y,Nametag,,,Halrog of Prey,"Bandit Dog | Soul Lantern | Pumpkin Gun",484
djsouljagirl101,89018,2025/01/19,5,20,n,,,,,"Flute",724
ghos,89973,2024/03/30,8,71,n,,,Penguin,,"Egg Locater",840
Celebrity,135703,2024/10/08,3,9,n,,,,,"",840
tulha47,142257,2024/11/30,26,697,n,,,Snowy Owl,Explode,"Dragonshead Cannon | R-80 | Green Epicsauce | Banjo",840
surge,168913,2024/09/13,14,202,y,,,Gremlin,,"Witches Brew | Hedgehog Friend | Cymbals | Chimp Friend | Panda Friend | Cowbell",840
CerealSquared,169239,2024/08/25,17,277,y,Nametag,,Brilliant Crown,Ragdoll,"Bonk Bat | Throwing Spork | Saxophone | Item of Sentiment",840
Lix,173689,2025/03/10,5,21,n,Boxer,,,,"",784
enk,210928,2024/12/15,2,2,n,,,,,"",840
HanSolo996,211083,2025/02/25,8,68,n,Error,,Dark Pegasus,Ghost,"Game Studio Executive Briefcase | Sea Sorcerer Staff | Anubis Staff",840
cric,236265,2024/09/27,5,24,n,,,,,"Goblet",826
AtomicFanBreaker,252733,2024/12/20,12,140,n,,Magnifying Glasses,,,"Teddy Bloxpin | Flower Feet | Pirate Juice",616
hppy,253312,2025/02/19,10,108,y,Nametag,Red sparkles,,,"Beast Claws | Foam Finger",484
dolphin,278260,2024/12/24,18,308,y,bearface,,Yellow Tired Tortoise,,"Cymbals | Tambourine | Snowball Cannon | Bauble Detector | Pumpkin Gun | Chimp Friend | Starblox Latte | Shrunken Head | Bonk Bat | Pest Hammer",124
kitberly,306555,2024/10/17,26,664,n,,Fairy Wings,Airborne Bear,,"Soul Lantern | Pest Hammer",528
seanuho,343905,2024/11/11,23,543,n,,,,Separate,"Selfie Stick | Red Stratobloxxer | Yellow Snowball | BANG! | Didgeridoo",124
sinistair,388874,2024/12/28,7,47,n,,,,,"Bauble Detector | Snowball Cannon",840
Aphrasion,409597,2024/11/03,9,75,n,,,,,"",840
narfzf,413077,2024/09/07,6,37,n,Poor,,Penguin,,"Tom's Beans",608
surrender,430143,2024/11/16,13,179,n,Writer,Musical Notes,Sophisticated Bat,Shatter,"Neon Throwing Stars | Saxophone | Soul Lantern",840
SupaHera,449780,2024/09/07,10,99,y,,,,,"Bonk Bat",250
MegaHuff,463375,2024/08/10,9,88,n,,,Griffin,,"",840
huk,473309,2024/08/23,9,75,n,,,,,"",840
inzyko,516970,2024/09/21,18,321,n,Alien,,,,"Chimp Friend | Sign: This Is Epic",840
ketsurge,520766,2024/11/19,15,226,n,,,Lost Animal,,"Bouquet of Pain Throwing Stars | RoVacuum | Yellow Snowball",752
kriz119,614037,2024/11/04,12,154,n,Talented,,Bat,,"BANG!",840
blueyoshibowser64,614428,2024/09/01,20,408,n,Mechanic,Hot Headed,Earth,Comic Thwack,"Item of Sentiment | Rainbow Fireworks",826
vyzhrr,630480,2024/11/07,18,326,n,,,,,"The Celebrator | Squid Launcher",124
KittyKitKatzz,648393,2024/11/26,5,29,n,,,Duck,,"Teddy Bloxpin",840
halloweenhater9,654977,2024/10/21,12,137,y,Psycho,Golden Rays,Yellow Soul,Halrog of Prey,"Winsome Wizard Wand | Haunted Pizza | Halloween Sparkler | Skeleton Foam Finger | Monster Friend | Spook Launcher | Mega Mallet | Ghost Bag | Soul Lantern | Pumpkin Bucket | Cursed Mummy Friend | Zombie Protest Sign",840
moosent,693767,2024/05/19,3,9,n,,,,,"",840
HAVEANlCELlFE,730265,2025/03/09,21,430,n,Joyful,,LOLHOO,Drop Stars,"Super Slash Cat Claws | Alpaca Plushie | Valentine’s Throwing Stars | Bighead Potion",616
vaxious,741439,2025/01/19,19,345,n,Introvert,,,Brick,"",840
cge,742078,2024/11/07,4,16,n,,,,,"Taco",840
Fieryarts,749375,2025/03/06,23,512,n,Error,Orange sparkles,,Abduct,"Otherworldly Sceptre | Bauble Detector",840
Dustythesmalldragon,767432,2024/12/14,16,270,n,Swedish,Pirate Flags,,Pause,"Winsome Wizard Wand | Pest Hammer | Green Epicsauce | Bouquet of Pain Throwing Stars | Yellow Snowball",840
sharksss,785316,2025/02/24,7,43,n,Tough,,,,"Flute | Victrola | Hot Dog",840
forevercloseyoureyes,789365,2025/03/08,10,101,n,,,,Cupid's Arrow,"",840
Lremus,819415,2024/12/04,22,478,n,Idol,,,,"Red Stratobloxxer",840
bart996,859125,2025/01/27,10,90,n,,,,,"",458
pukestain,865137,2025/01/15,25,628,y,,,,,"",840
432dwaswas,898765,2025/01/14,7,55,n,Tough,,,,"Pirate Juice",840
wery99,912323,2024/09/25,11,112,n,,,,,"Epicsauce | BANG! | Magical Umbrella",703
skream,922254,2024/11/06,16,259,n,.,White Divergent,Penguin,Ascend,"Taco",840
7659,933444,2025/03/06,4,15,n,,,,,"",124
farewell,943571,2024/11/16,6,37,n,,Musical Notes,Banana Dog,,"Chocolate Milk",840
Legoman18721,1073464,2025/02/10,13,171,n,Poor,,Hedgehog,,"Icicle Cannon | Bundle of TNT | Epicsauce | Magical Umbrella",840
jedwena,1114532,2024/10/26,16,268,n,Introvert,,,,"Monster Mash | Item of Sentiment",840
AlexandreArcana0101,1125319,2024/07/08,7,53,n,barcode,Sprinkling Snowflakes,,Burn,"Ultra-Flat Spray Paint | Protest Sign: Noobs | Flower Crossbow",788
CoolGirl644,1189551,2024/08/29,7,42,n,Clever,,,,"",031
internet_wallflower,1199591,2024/11/26,25,643,y,Silent,,Arctic Wolf,Ascend,"Laser Finger Pointers | Christmas Tree Lights | Alpaca Plushie | Roman Candle | Sign: This Is NOT Epic | Liberty Torch | Bighead Potion | Exploding Heart | Bongos | Crab Horde | Ghost Bag | Noob Pop | Tee Shirt Cannon | AFK Sign | Pumpkin Gun | Basketball | Bandit Dog | Cherry Pie | Touchdown Football | Beast Claws | Mega Mallet | Soul Lantern | Flute | Selfie Stick | Pom-Poms | Rainbow Fireworks",840
BLAKE000,1253210,2025/02/19,6,41,n,,,Penguin,,"BANG!",840
hop1234,1261322,2024/04/03,16,266,n,Loser,,Epic Egg,,"Pest Hammer | Egg Hammer | Egg Locater | Big Stick",840
DaLeJr806,1290071,2024/09/13,23,529,y,Swedish,Heartbeat,Brilliant Crown,Terminate,"Beach Staff | RedBLOX | Baseball Bat | Beach Ball | Disguise Watch | Ticket Launcher | Pest Hammer | Ra'k Guitar | Giant Ninja Star | Bonk Bat | Tiger Warrior Club | Touchdown Football | Metal Guitar",840
finaIkiIl,1304467,2024/11/08,28,759,n,,,All Nighter Potoo,,"Goblet | Nunchucks | RoVacuum | Pirate Juice | Pest Hammer",840
jonjon123357,1310397,2024/11/24,13,180,y,Loser,Dark Sprite,Cat,Ascend,"Dragonshead Cannon | Big Stick | Steampunk Zapper | Pest Hammer | Mega Mallet",840
jmahnh2o,1310554,2024/05/18,3,9,n,,,,,"",840
SLIDESH0P,1313954,2024/12/31,4,17,n,,,,,"",840
492,1317475,2024/07/28,5,28,n,,,,,"",840
87876,1438260,2025/03/09,28,786,n,Loser,Popping Bubbles,Hampter,Helium Head,"Stop Hitting Yourself | Spell Book of Ice Cold Revenge | Laser Finger Pointers | RC Tank | Banana Peel | PE Whistle | Rainbow Wand | Super Slash Cat Claws | Neon Throwing Stars | Fluffy Bunny | Clown Gun | Valentine’s Throwing Stars | Ghost Potion | Lollipop Cat | ROBAR eXtreme Chocolate Crunch | Boba Tea | Frost Potion | Dozens of Dinosaurs | Helper Cannon | Bighead Potion | Exploding Heart | Smashing Drum | Discus | Disguise Watch | Skelefriend | Lightblox Jar",840
CetaBabe,1457130,2025/03/03,20,416,y,Leafy,The Blue Strange,Light Pegasus,Big Bunny,"Earth Horn | Carrot Slingshot | Berry Sweet Boba | Otherworldly Sceptre | R-80 | Inflatable Saxophone | Spray Paint | Game Studio Executive Briefcase",840
BellaaBandit,1462735,2024/06/07,15,216,n,Princess,Purple flame,Skeleton Cat,Spaghettificate,"Chocolate Bunny",036
1055,1489696,2024/10/16,13,181,n,.,,Penguin,Separate,"Red Stratobloxxer | Basketball",840
xop589,1530610,2024/06/30,2,3,n,,,,,"",826
ryrderr,1533361,2024/06/04,19,364,n,skulls,Heartbeat,Bunny Egg,Lovely Explosion,"Basketball | Exploding Heart",608
Vrebrex,1587900,2024/08/26,2,2,n,,,,,"",840
ThexiAvoid,1659820,2025/02/24,5,21,n,,,,,"",840
Mocxide,1761434,2024/09/05,17,302,n,Evil,Hot Headed,Gourd Friend,Drop Stars,"Ticket Launcher | Giant Ninja Star",826
Iftikhaar24,1816900,2024/12/20,5,23,n,Minigamer,,,,"Bauble Detector | Snowball Cannon",840
SNOWTIGER123,1857989,2024/06/08,14,187,n,Nice,Yellow sparkles,,Lightning,"Witches Brew | Pest Hammer",643
