Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
Lyrmus,4068009769,2025/01/26,60,3634,n,,,,,"Staff of the Woodlands",528
XxcreepyxX19,1874627320,2025/01/21,60,3633,n,Demigod,Infinity,,Abduct,"Ceramic Potion | RedBLOX | Basketball | Frosted Santa | April Showers | Foam Finger | Chameleon Potion | Disguise Watch | Whoopee Cushion | Hot Dog | Christmas Cookie | Laser Finger Pointers | Dance Potion | Monster Mash | Goblet | The Christmas Creep | Cherry Pie | Snowball Cannon | Bauble Detector | Frost Potion | Protest: More Gear Nao | Red Foam Finger | Taco | Electric Blue | Dragonshead Cannon | Snowball | Magical Umbrella | Pirate Juice | R-80 | Pest Hammer | Saxophone | Staff of the Woodlands | Epicsauce | Green Epicsauce | Cymbals | Magic Dragon | Hot Chocolate | Fortune Telling Eight Ball | Stop Hitting Yourself | Clown Bomb | Snowman Gun | Protest Sign: Eggs are for eating | Helen The Hiphipapotamus | Frosty the Snowfriend | Bloxiade | Ancient Firecracker | Santa | Big Flower | Rolling Pin | Face Off Potion | Roblox Snowglobe | Ultra-Flat Spray Paint | Tambourine | Moonwalk Potion | Marshmallow Chirp | Bunch of Balloons | Watermelon | Starblox Latte | Chocolate Milk | Spinning Robot Helmet | Jingle Bells | Spray Paint | Red Pirate Juice | Didgeridoo",840
LuckyLaza11,1896042861,2025/03/13,60,3633,n,VANQUISHER,Lich Aura,Lil Monstrosity,Comic Thwack,"Chicken Gun | Otherworldly Sceptre | Roboarm | Earth Horn | Snowball Launcher | Spell Book of Ice Cold Revenge",688
FelixDaBest_1,1283373687,2024/11/27,60,3633,n,Atomic,Ethereal Mist,Cactus Cat,Spaghettificate,"Dragonshead Cannon | RedBLOX | Laser Finger Pointers | Clown Bomb | Silly Guitar | Dance Potion | Roblox Snowglobe | Drone | Squid Launcher | Chameleon Potion | Big Flower | Stop Hitting Yourself | Flower Feet | Throwing Barrel | Jingle Bells | Sparkler | Saxophone | Staff of the Woodlands",360
AyeAlex_I,261081798,2025/02/10,60,3633,n,Legend,,,Lightning,"Stop Hitting Yourself | Torch | Pinata Bat",840
galileahelena2,344120259,2024/06/30,60,3633,n,,Floating Flower,Star Buddy,The Claw,"Ink Launcher | AFK Sign | Megagavel | Staff of the Woodlands | Stop Hitting Yourself | Torch | Big Flower",604
kvelley,494489291,2024/07/07,60,3633,y,INSOMNIAC,,,,"Stop Hitting Yourself | Frying Pan | R-80 | Bonk Bat | Moneybag | Saxophone | Metal Guitar",826
khodosenkoaa,447278838,2024/12/31,60,3632,n,Swedish,Zzzz,Scorch the Ever Faithful,Terminate,"Stop Hitting Yourself | Clown Bomb | Disguise Watch | Bloxxy Radar | Science Project: Potato | Snowball Cannon | Drone | R-80 | Staff of the Woodlands | Bunch of Balloons | Shuriken | Flower Feet | Torch | Lightblox Jar | Ultra-Flat Spray Paint | Science Project: Volcano",643
0nm3lanch0lyhill,473387917,2024/11/28,60,3632,n,,Floating Flower,Cactus Cat,Gravestone,"Tiger Friend | Big Flower | Retro Candy | Party Horn",840
ItzToxicDev,1738553725,2025/02/26,60,3632,n,:-),Vampiric Epic faces,Big Friendly Bee,Abduct,"Icicle Cannon | Pest Hammer | Fortune Telling Eight Ball | Moonwalk Potion | Torch | Stop Hitting Yourself",840
Touchie11,731092247,2024/10/06,60,3631,n,Cute,Hearts,,Drop Stars,"Stop Hitting Yourself",840
rvneion,373755557,2025/03/12,60,3631,n,Untouchable,The Green Strange,Trollamon,Separate,"Instant Campfire | Otherworldly Sceptre",458
aaikawa,1506409990,2024/06/15,60,3631,y,Disestablishmentarianist,Egg Trio,Bandleader Guinea Pig,Eggify,"RedBLOX | Basketball | April Showers | Chocolate Bunny | Chicken Gun | Throwing Barrel | Alpaca Plushie | Marching Drum | Item of Sentiment | The Christmas Creep | Throwing Spork | Tiger Warrior Club | Police Badge | Dance Potion | Taco | Metal Detector | Spray Paint | Flower Feet | Magical Umbrella | Pirate Juice | Bonk Bat | Panda Friend | Saxophone | Staff of the Woodlands | Epicsauce | Dragonshead Cannon | Cymbals | Cake | Eggstaff | Fortune Telling Eight Ball | Inflatable Saxophone | Clown Bomb | Piggybank | Protest Sign: Eggs are for eating | Monster Mash | Badblox Hatchling | Laser Finger Pointers | Bighead Potion | Santa | Metal Guitar | Red Balloon | Eggshot | Stop Hitting Yourself | Ultra-Flat Spray Paint | Bloxxy Radar | Moonwalk Potion | Drone | Bunch of Balloons | Ticket Launcher | Protest Sign: Noobs | Disguise Watch | AFK Sign | Pom-Poms | BANG! | Ra'k Guitar | Didgeridoo",840
Alanang,75892336,2024/05/29,60,3630,n,Introvert,!!!!!!!,,Shark Attack,"Stop Hitting Yourself | Shade Potion | Clown Gun | Staff of the Woodlands | Laser Finger Pointers",458
slaughtes,1011151804,2024/07/26,60,3630,y,Nametag,,Penguin,Ascend,"Panda Friend | Silly Guitar | Goblet | Mega Mallet | The Christmas Creep",840
bIasphemouss,256568280,2024/05/12,60,3630,y,Vyrelord,Lich Aura,,Drop Robux,"Megagavel",840
MilkieLin,1962804857,2024/09/29,60,3629,n,Cute,Rainbow Sparkles,Rat,Pop,"Pest Hammer | Item of Sentiment | Stop Hitting Yourself",840
manglegurl88,158294741,2024/10/22,60,3629,n,Ghostly,Corrupted Aura,Korblox Bird,The Claw,"Soul Lantern | Shade Potion",840
Iuvyenq,1269061084,2024/09/23,60,3629,n,,,,Ascend,"Epicsauce | Basketball | Misfortune Cookie | April Showers | Panda Friend | Waffle | Disguise Watch | Throwing Barrel | Saxophone | Ra'k Guitar | Frosty the Snowfriend | Staff of the Woodlands | Skeleton Foam Finger | Fortune Telling Eight Ball | Squid Launcher | Monster Friend | Bug Net | Stop Hitting Yourself | Ultra-Flat Spray Paint | Moonwalk Potion | R-80 | Ghost Bag | Bunch of Balloons | Torch | Protest Sign: Noobs | Magical Umbrella | Slingshot | Rolling Pin | Tambourine | Starblox Latte | Bloxxy Radar",616
