Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
nockursox,1253388495,2024/11/02,71,4993,y,)-:,,Little Kangaroo,The Claw,"Neon Laser Launcher | Sign: This Is Epic | Pest Hammer",840
ZingierDegree,1085911199,2024/11/28,71,4991,y,Nametag,Golden Rays,,Lightning,"Stop Hitting Yourself | Hedgehog Friend | Fake C4 | R-80 | Metal Guitar | Protest Sign: Noobs | Bugle | Pest Hammer | Bonk Bat | Item of Sentiment",840
DeathRaiderT14,470838076,2025/03/09,71,4991,n,Evil,Red flame,Evil Duck,Lightning,"Rainbow Fireworks | The Midas Glove | Bighead Potion | Binoculars | Flower Crossbow | Necromancer Staff",840
Krystallline,16536264,2024/06/08,71,4991,n,Artist,Blackholes,Something Dark Within,,"Staff of the Woodlands",840
Srta_Mendes,748182827,2024/11/12,71,4990,n,Error,Heartbeat,Seal,Abduct,"Red Stratobloxxer | Disguise Watch",170
TheUsualMood,2029611913,2024/05/23,71,4989,n,,,,Vanish,"Staff of the Woodlands",484
999_SweetMi1ky,358075432,2024/09/29,71,4989,n,.,,,Curse,"Stop Hitting Yourself | Item of Sentiment | Halloween Sparkler | Soul Lantern | Pest Hammer | Lightblox Jar",840
Isolated_flowers,339280167,2025/03/07,71,4989,n,Disestablishmentarianist,,Kiwi,,"Item of Sentiment | Otherworldly Sceptre | Flower Feet | Saxophone | Yellow Snowball | Slurpee",124
ieatfIan,913850269,2025/01/25,71,4988,y,skulls,Pink sparkles,Dazzling Heart,Comic Thwack,"Winsome Wizard Wand | Laser Finger Pointers | Panda Friend | Frosted Santa | Super Slash Cat Claws | Bacon Frying Pan | Monster Friend | Roman Candle | iLift Three | Otherworldly Sceptre | Flower Feet | Chocolate Milk | Saxophone | Pumpkin Bucket | Starfish | Ham Bone | Cowbell | Green Balloon | Ghost Bag | Bunch of Balloons | Shuriken | Cursed Mummy Friend | Frisbee | Witches Brew | RedBLOX | Fake C4 | April Showers | Chocolate Bunny | Marching Drum | Skeleton Foam Finger | Tom's Beans | Bauble Detector | Frost Potion | Pizza | Chameleon Potion | Torch | Pirate Juice | Pest Hammer | Starblox Latte | Fortune Telling Eight Ball | Inflatable Saxophone | Big Stick | Silly Guitar | Protest Sign: Eggs are for eating | Marshmallow Chirp | Frosty the Snowfriend | Bloxiade | Rolling Pin | Wooden Sword | Nunchucks | Green Epicsauce | Soul Lantern | Spinning Robot Helmet | Jingle Bells | Ra'k Guitar | Haunted Pizza | Disguise Watch | Blue Throwing Barrel | Dance Potion | Compass | The Christmas Creep | Eggshot | Egg Locater | Ink Launcher | Noise Maker | Throwing Bolts | Cake | A Very Special Monster | Waffle | Bug Net | Tambourine | Space Sandwich | Crab Horde | Caltrops | Rainbow Fireworks | Tiger Warrior Club | Sonic Boom Tuba | Bacon Launcher | Moonwalk Potion | Ceramic Potion | Snowball Launcher | Flute | Slushie | Sea Sorcerer Staff | Moneybag | Fire Extinguisher | Spray Paint | Poison Picnic | Lightblox Jar | Selfie Stick | Bloxilicious Bubble Gum | Zombie Protest Sign | Pirate Hook | Face Off Potion | Mega Mallet | Slingshot | Hot Dog | Christmas Cookie | EPIC Stamper | Noob Pop | Latke | Ultra-Flat Spray Paint | Monster Mash | Ice Cream | Clown Bomb | Snowball Cannon | Red Pirate Juice | Goblet | Electric Blue | Chimp Friend | Tee Shirt Cannon | Taco | Metal Detector | Halloween Sparkler | Sparkler | Magical Umbrella | Whoopee Cushion | Bonk Bat | Science Project: Volcano | Bloxxy Radar | Staff of the Woodlands | Pumpkin Gun | Cymbals | Smore | Eggstaff | Misfortune Cookie | Boxing Glove Launcher | 8-Bit Ninja Stars | Cherry Pie | Helen The Hiphipapotamus | Giant Ninja Star | Teddy Bloxpin | Retro Candy | R-80 | Roblox Snowglobe | Spider Flinger | Present Basket | Bugle | War Rocks | Ancient Firecracker | Item of Sentiment | Apple Pie | Watermelon | Protest Sign: Noobs | Bandit Dog | Snowman Gun | Pom-Poms | BANG! | Foam Finger | Spell Book of Ice Cold Revenge",840
prxncess_trv,166276981,2024/08/02,71,4987,n,Apathetic,White Divergent,,Ghost,"Tennis Racket | Egg Locater | Selfie Stick | Magical Umbrella | Confetti Cannon | April Showers",840
