Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
AsianHannah1234,1304042250,2024/10/08,39,1504,n,.,Black flame,,Pause,"Stop Hitting Yourself | Drone | The Christmas Creep | Saxophone | Bacon Frying Pan",840
boylifter,334754159,2024/05/11,39,1504,n,Demigod,,Satellite,,"Bloxilicious Bubble Gum | Red Stratobloxxer | Pumpkin Bucket | Spray Paint | Marshmallow Chirp | Goblet | Compass | Chocolate Milk | Hot Dog | Bloxxy Radar",036
Just4rnd0mp3rs0n,4209147089,2025/02/11,39,1504,n,,,,Ascend,"Otherworldly Sceptre | Staff of the Woodlands | Soul Lantern",604
prettycoolforu,543779357,2024/10/19,39,1504,n,,,,,"Rolling Pin | Bloxilicious Bubble Gum | Cymbals | Drone | Taco | Sparkler | Teddy Bloxpin | BANG! | Ultra-Flat Spray Paint | Bloxxy Radar",000
PinoyXCherry,52919701,2024/08/09,39,1504,n,,Eyes,Eye,,"Stop Hitting Yourself | Jingle Bells | Staff of the Woodlands",840
puppymal_fer,372418682,2025/01/25,39,1504,n,Legend,Purple flame,Polar Bear,,"Stop Hitting Yourself | Throwing Barrel | Flower Feet",840
teenbx,268476459,2024/11/20,39,1504,y,Demigod,Black flame,Rat,Pause,"Stop Hitting Yourself | Chicken Gun | Throwing Barrel | Bandit Dog | R-80 | Soul Lantern | Pom-Poms | Pest Hammer | Protest Sign: Save the Noobs | Didgeridoo",840
jxrdi_sloth,1902743305,2024/11/26,39,1504,n,Angelic,,,,"",840
TuMochiPochi,2878729212,2025/03/01,39,1503,n,,,Gingerbread Man,The Claw,"Pest Hammer | Fortune Telling Eight Ball | Staff of Neverending Frost | Flower Crossbow | Breath of Ice",032
szender1,74423947,2024/12/02,39,1503,n,.,Butterflies,Dr. Ishmael,Terminate,"Didgeridoo | Inflatable Saxophone | Giant Ninja Star | Monster Mash | Bugle | Speech Bubble | Frost Potion | Chimp Friend | Red Stratobloxxer | Item of Sentiment | Rainbow Fireworks",858
Geobonnie9367,917272555,2025/01/05,39,1503,n,Artist,,Earth,Burn,"Monster Mash",840
ssssheron,1450089097,2025/01/05,39,1503,n,Vyrelord,Corrupted Aura,Scorpion,The Claw,"Snowball Cannon | Bauble Detector | Snowman Gun",643
jkhfduyguijufhgytj,681991460,2025/03/11,39,1503,n,Worthless,Cyan flame,Snowman,Terminate,"Protest Sign: Noobs | Pest Hammer",076
soyalguien335,417469350,2025/01/16,39,1503,n,Demigod,Transistors,Ninja,,"Stop Hitting Yourself | Protest Sign: Noobs | Drone | Dance Potion | Face Off Potion | Fortune Telling Eight Ball | Disguise Watch",724
Ankiepowertt,1356570116,2024/12/11,39,1503,n,Myth,Footballs,Bunny,Drop Stars,"Science Project: Potato | Cymbals | April Showers | Caltrops | EPIC Stamper | Stop Hitting Yourself | Slush Cannon | Moonwalk Potion | Chameleon Potion | Metal Detector | Magical Umbrella | Bacon Launcher | Epicsauce | Saxophone | Bloxxy Radar",528
luvphxs,1373922318,2024/12/04,39,1503,n,Suspect,Crystalized,Crow,Ascend,"Starfish | Shark Launcher | Speech Bubble | 8-Bit Ninja Stars | Protest Sign: Save the Noobs",036
zawmbite,516563153,2024/11/10,39,1503,y,Inquisitive,Bubblehead,Jerry the Jellyfish,Lovely Explosion,"Shark Launcher | Ink Launcher | Helen The Hiphipapotamus | Boba Tea | Pink Coconut Drink",840
flavyutza234,1409966467,2025/03/12,39,1503,n,Demigod,White flame,Rudolph the Reindeer,,"",642
Renn_2103,2057081396,2024/11/10,39,1503,y,Silly,,Fancy Duck,Flatten,"Item of Sentiment | Bonk Bat | Pest Hammer",840
sophie_lee6402,3845435015,2024/05/29,39,1503,y,Bri'ish,Floating Flower,Round Cat,Disco,"",826
Matthewforever78,1634790144,2024/07/29,39,1503,n,,Blue sparkles,,Drop Coins,"Stop Hitting Yourself | Foam Finger | Fortune Telling Eight Ball | Clown Bomb | Starfish | Saxophone | Teddy Bloxpin | Protest Sign: Eggs are for eating | Flower Crossbow | Big Flower | Bandit Dog | Selfie Stick | Otherworldly Sceptre | Green Epicsauce | Protest Sign: Noobs | Sparkler | Torch | Pest Hammer | Rainbow Fireworks",124
RoshMobin,4000878593,2024/06/24,39,1503,n,Cheeky,Ethereal Mist,Stick Friend,,"Otherworldly Sceptre",586
Daisyxlemonx,2563690956,2024/12/15,39,1503,n,Fearless,Steam Ring,Lobster,,"Epicsauce | Bauble Detector | Chameleon Potion | Flute | Flower Feet | Bacon Launcher | Whoopee Cushion | Saxophone | Item of Sentiment",036
honeyllow_0302,4264672459,2025/02/21,39,1503,n,Neanderthal,Rainbow Spiral,8-Bit Tabby Cat,Drop Stars,"Saxophone | April Showers | Torch",360
azazwoman,147945208,2024/05/31,39,1503,n,Delicate,Hearts,Bunny Egg,Explode,"Dance Potion | Cherry Pie | Rolling Pin",840
boysloving,569343865,2024/04/07,39,1503,n,Angelic,Funny Bone,Eye,,"Bloxilicious Bubble Gum | Basketball | Snowball | Rolling Pin | Egg Locater | Monster Friend | Chimp Friend | Noise Maker | Chameleon Potion | Whoopee Cushion | Flute | Bugle | Torch | Slurpee | Heart Balloon | Spray Paint | Flower Feet | Lightblox Jar",840
EatingdaWaffles,3046432027,2025/02/15,39,1503,n,NPC,Hot Headed,,Skeletonize,"The Midas Glove | Science Project: Potato | Hand Cannon | BANG! | Bundle of TNT",124
BroBobby222,381470616,2024/07/28,39,1503,n,Error,,,Drop Coins,"",840
Inkywing737,1328685949,2024/07/23,39,1503,n,.,!!!!!!!,Crow,Curse,"Chicken Gun | Frying Pan | Otherworldly Sceptre | Confetti Cannon | Flower Feet",608
gjufue,481221703,2025/01/06,39,1503,n,Swedish,Festive Tree,Santa's Sleigh,Drop Stars,"Pumpkin Bucket | Noob Pop | Bacon Frying Pan | Red Pirate Juice | Selfie Stick | Bauble Detector | Snowball Cannon | Item of Sentiment | Pest Hammer | Science Project: Volcano",752
golden046,1697781257,2025/01/16,39,1503,n,Shy,Poisonous,Scorpion,Spaghettificate,"Spider Flinger | Snowball Cannon | Shade Potion | Super Slash Cat Claws | Bauble Detector | Otherworldly Sceptre | Pom-Poms",840
carlos_azA3,2055549106,2025/01/27,39,1502,n,Unique,Purple flame,Robot Spider,Spaghettificate,"Stop Hitting Yourself | Bauble Detector | Dragonshead Cannon | Staff of the Woodlands",484
skzxqo,243120125,2024/08/10,39,1502,n,Evil,,Little Bunny,Avalanche,"Stop Hitting Yourself | Eggshot | Pinata Bat | Snowball | Metal Detector | Epic Popper | Zombie Protest Sign | Item of Sentiment | The Celebrator | Staff of the Woodlands",840
byaaaaaaaaaa17,1191415313,2024/10/20,39,1502,n,Happy,Vampiric Epic faces,Green Soul,Curse,"Pumpkin Bucket | Soul Lantern | Fortune Telling Eight Ball",076
spi8ers,4092536669,2024/11/08,39,1502,n,INSOMNIAC,Lich Aura,Dark Pegasus,Curse,"Pumpkin Gun | Spider Flinger | Boxing Glove Launcher | Haunted Pizza | Slush Cannon | Christmas Tree Launcher | Winter Snowfall | Soul Lantern | Ticket Launcher | Protest Sign: Noobs | Shade Potion | Pom-Poms | Pest Hammer",826
Rainbowdashplop09,458469843,2024/08/09,39,1502,n,Suspect,Green flame,,The Claw,"Beach Staff | Torch | Saxophone",458
Justalittleline,698043783,2024/12/19,39,1502,n,,,Ninja,,"Disguise Watch | Frost Potion | Chimp Friend | Moonwalk Potion | Monster Mash | Staff of the Woodlands",840
arnek120,2764534806,2025/01/08,39,1502,n,Musician,North Star,,Abduct,"Inflatable Saxophone | Chicken Gun | Snowman Gun | Item of Sentiment | Science Project: Volcano | Pumpkin Gun | Bauble Detector | Otherworldly Sceptre | Ancient Firecracker | Didgeridoo | Soul Lantern | Snowball Cannon | Pest Hammer | Spider Flinger | Staff of the Woodlands",528
KittyMe_1984,3627148291,2024/05/10,39,1502,n,Royal,Yellow flame,Big Friendly Bee,Drop Coins,"Stop Hitting Yourself | Fortune Telling Eight Ball | Starfish | Epicsauce | Pest Hammer | Flower Crossbow | Big Flower | Chocolate Milk | Otherworldly Sceptre | Rainbow Fireworks",643
pivko802,6117440716,2025/03/13,39,1502,n,Freaky,North Star,Fancy Duck,Skeletonize,"Liberty Torch | Bandit Dog | Bighead Potion | Noob Hot Chocolate | Roboarm",643
prettypinkunicorns29,602434167,2024/08/28,39,1502,n,Demigod,,Big Friendly Bee,,"Otherworldly Sceptre",840
