Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
PR3TTY_LORA,1583452030,2025/02/01,31,989,y,,,,Ascend,"Squid Launcher",840
evvasgood,2628021705,2024/05/18,31,989,y,VIP,Cars,Bunny Egg,Pause,"Basketball | Item of Sentiment | Eggstaff | R-80 | Clown Bomb | Bonk Bat | Protest Sign: Eggs are for eating | Noob Pop | Giant Ninja Star | Pom-Poms | Whoopee Cushion | Punk Wrist Cuff",804
Love_me0608,5731550073,2025/01/03,31,989,n,,,Gingerbread Pal,Abduct,"Bauble Detector",764
ikeuful,378580504,2024/10/06,31,989,n,)-:,Butterflies,Duck,,"Chimp Friend | Chocolate Milk",124
1magelIanic,132119718,2025/01/11,31,989,n,Freaky,,Arctic Wolf,Top of Tree,"Megagavel",840
IuckiIuvr,183328990,2024/12/21,31,989,n,Atomic,Hammers,Seal,,"Cymbals | Misfortune Cookie | Foam Finger | Pumpkin Bucket | Bug Net | Cherry Pie | Goblet | Bloxiade | Skeleton Foam Finger | Starblox Latte | Throwing Spork | Wooden Sword | Staff of the Woodlands | Ghost Bag | Green Epicsauce | Taco | Saxophone | BANG! | Protest Sign: Noobs | Hot Dog | Flower Feet | Heart Balloon | Chocolate Milk | Cursed Mummy Friend | Zombie Protest Sign",840
Miss_fofah10,1468297041,2024/12/16,31,989,n,,Watchful Eye,,Ghost,"Green Epicsauce | Soul Lantern | Bauble Detector",076
Bytory0308,1475678842,2025/01/19,31,989,n,,,,,"Chimp Friend | Panda Friend",410
Iappreciate_u,418121118,2025/01/01,31,989,n,Angelic,Purple flame,,Camouflage,"Egg Locater | Frost Potion | Bauble Detector | Smore | Sparkler | Tambourine | Teddy Bloxpin | Spray Paint | Flower Feet | Big Flower",840
ixXcloudy_viviXxi,1886594669,2024/08/15,31,989,n,Poor,,,Balloon,"Fake C4 | Starblox Latte | Cherry Pie | Magical Umbrella | Party Horn | Slingshot | BANG! | Cursed Mummy Friend | Lightblox Jar",840
wigglemuch,1594649668,2024/05/06,31,989,n,Eggcellent,!!!!!!!,Bird,Camouflage,"Red Pirate Juice | Frost Potion | Snowball | Panda Friend | Magical Umbrella | Watermelon | Noise Maker | Spinning Robot Helmet | Bloxiade | Foam Finger | Roblox Snowglobe",826
pipaopip,1481740432,2025/03/09,31,989,n,Eggsterminator,,,Freeze,"Metal Guitar | Epicsauce",000
aassaaddff,164314866,2025/03/11,31,989,n,Snowflake,Sprinkling Snowflakes,Motley Parrot,Lightning,"Otherworldly Sceptre | Selfie Stick | Ticket Launcher | Protest Sign: Noobs | Pest Hammer",032
burnyourgrave,1469771645,2024/05/21,31,989,n,Princess,,,,"Egg Locater | Protest Sign: Noobs | Magical Umbrella | Egg Hammer | Chick Horde",840
Nanisopretty123,2406183865,2024/06/01,31,989,n,Geek,Light Sprite,Penguin,Drop Coins,"Basketball | Spider Flinger | Noob Pop | Bacon Frying Pan | Chimp Friend | Starfish | Saxophone | Giant Ninja Star | R-80 | Ticket Launcher | Flute | Latke | Pom-Poms | Rock It Guitar",840
Unna1ural,1573347359,2024/06/06,31,989,n,INSOMNIAC,,,,"Epicsauce | Wooden Sword | Red Stratobloxxer | Fortune Telling Eight Ball | Throwing Barrel | BANG! | TOMATOES! | Cymbals | Item of Sentiment | Flute | Metal Guitar",840
foreveragainn,275456916,2024/10/02,31,989,n,,,,Terminate,"Wooden Sword | Frost Potion | Pest Hammer | Big Flower | Noob Hot Chocolate | Item of Sentiment | Chocolate Milk | Lightblox Jar",554
memegirl_mimi,2009736978,2025/01/03,31,989,n,Real,,,Drop Stars,"Bauble Detector",642
PoisonedSponge,194489520,2024/08/23,31,989,n,,,Cheezburger,Petrify,"Stop Hitting Yourself | Fake C4 | Hot Chocolate | Clown Bomb | Silly Guitar | Protest Sign: Eggs are for eating | Whoopee Cushion | Saxophone | BANG!",840
EllaBubblegumomg,1531352895,2024/06/25,31,989,n,Evil,,,Ragdoll,"Epicsauce | Stop Hitting Yourself | Cake",442
obedientherp,261286024,2024/12/30,31,988,y,barcode,Caution Crazy,Lobster,Spaghettificate,"Item of Sentiment | Snowball Cannon | Otherworldly Sceptre | Crab Horde",840
LOL_MILKISTOP204,2822231920,2025/03/10,31,988,n,Imbecile,Blueberries,Kawaii Cat,Drop Stars,"Otherworldly Sceptre | Pest Hammer | Pool Noodle | Lightblox Jar | Green Balloon | Big Flower | Torch | Ra'k Guitar",643
olianeli,87169131,2024/08/11,31,988,n,,,,,"Frying Pan | Flower Crossbow | Pest Hammer | Magical Umbrella | Bucket | Slushie",840
DepyGR,848840694,2024/12/24,31,988,n,Legend,Red Balloons,Ocelot,,"Witches Brew | Frost Potion | Snowball | Green Epicsauce | Inflatable Saxophone | Panda Friend",300
milkkasada,3066665512,2024/12/21,31,988,n,INSOMNIAC,,The Cube,Spaghettificate,"Stop Hitting Yourself | Skeleton Foam Finger | Otherworldly Sceptre",040
chrislol420,404636711,2024/05/20,31,988,n,Friendly,Butterflies,Jellyfish,,"Sparkler | Face Off Potion | Ultra-Flat Spray Paint | April Showers | Compass | Goblet | Lightblox Jar",840
LexyRolex,1490873436,2024/06/29,31,988,n,Sk8r,,Fluffy Unicorn,,"Protest Sign: Eggs are for eating | Flower Feet",458
cyurgery,103309746,2024/12/01,31,988,y,Aromatic,,,Comic Thwack,"Pumpkin Staff | Mega Mallet | Metal Guitar | Clown Bomb | The Christmas Creep | Soul Lantern | Frosty the Snowfriend | Epiczza | Egg Locater | Didgeridoo",124
Rossehuwu,1631900081,2024/10/18,31,988,n,Alien,,,,"Taco | Ultra-Flat Spray Paint",152
sebidoo12,1240957315,2024/07/08,31,988,n,Popper,,Lil Obsy,,"Otherworldly Sceptre | Metal Detector | Epic Popper | Pest Hammer",124
keepmefromthegallows,1205116671,2024/06/16,31,988,n,,,Motley Parrot,Avalanche,"Snowball | Shark Launcher | Stop Hitting Yourself",840
Manta_CxR,2470838190,2024/08/21,31,988,n,,Butterflies,,,"Tambourine | Rolling Pin | Tennis Racket",840
DeckedGecko1,7015893511,2024/09/14,31,988,y,Fresh,Corruption,Angry Cooler,Lightning,"Christmas Tree Launcher | Killer Whale Launcher | Game Studio Executive Briefcase | Chameleon Potion | Otherworldly Sceptre | Squid Launcher",840
robynsunshine2,741943685,2024/10/27,31,988,n,Silly,,Ninja,Disperse,"Torch | Magical Umbrella | Magic Dragon | Disguise Watch",826
Smile99072035,2529221450,2024/08/11,31,988,n,Dancer,Caution Crazy,Sunshine,Disappear,"Basketball | Misfortune Cookie | Snowball | Waffle | Clown Bomb | Lightblox Jar | Goblet | Apple Pie | Tambourine | Bloxiade | Christmas Cookie | Teddy Bloxpin | Big Flower | Tom's Beans | Eggshot | Marshmallow Chirp | Red Stratobloxxer | Pizza | Ancient Firecracker | Taco | Flute | Watermelon | Flower Feet | Torch | Cake | Hot Chocolate | Chocolate Milk | Starblox Latte | Bloxxy Radar",410
icecream53389,1119292050,2024/08/11,31,988,n,Survivor,Gold Bars,,,"Beach Staff | Pest Hammer | Beach Ball | Big Flower",840
Druid_III,7844292812,2025/03/07,31,988,n,Freaky,Aurora Sphere,Halrek,Cupid's Arrow,"Pumpkin Gun | Mega Mallet",344
bereghostfan33366,408314908,2025/01/18,31,988,y,skulls,Crimson Array,Fiery Phoenix,Pedestrian,"Annoying Elf | Snowman Gun | Staff of Neverending Frost | Spell Book of Ice Cold Revenge | Snowball Launcher | Bongos | Saxophone | Science Project: Volcano",840
ariela9aa,289357106,2024/08/16,31,988,n,Poor,Sandwiches,Rat,Ragdoll,"Goblet | Pizza | Starblox Latte | Alpaca Plushie",604
cookieXunicorn,349372909,2024/12/20,31,988,n,.,The Red Strange,,,"Magical Umbrella | Chameleon Potion",344
Queen_Nai904,1635506456,2024/06/19,31,988,n,,,,,"Foam Finger | Spinning Robot Helmet | Fake C4",840
stwuffie,1018222836,2024/09/14,31,988,n,,Hearts,,Eggify,"Item of Sentiment | Cymbals | Tambourine | Teddy Bloxpin | Panda Friend | Chameleon Potion | Dance Potion",826
Cloudytears104,1186571297,2024/11/26,31,988,n,Legend,Ghosts,Duck,,"Waffle | Chimp Friend | Chocolate Milk | Cake | Teddy Bloxpin | Panda Friend | Starblox Latte | Dance Potion",840
Velvettttt,396771751,2024/09/14,31,988,n,skulls,Love Aura,,Lightning,"Cymbals | Megagavel | Alpaca Plushie | Stop Hitting Yourself | Rainbow Fireworks",840
MilanaMausi,1250536358,2024/09/14,31,988,n,Bright,Strawberries,Blue Tired Tortoise,Shatter,"Stop Hitting Yourself | Pest Hammer | Big Flower | Tennis Racket | Ticket Launcher | Chocolate Milk | Bacon Frying Pan",276
gazylkg,1999785984,2024/10/20,31,988,n,Lucky,Yellow Ringed,Chick Magnet,Freeze,"Stop Hitting Yourself | Wooden Sword | Pinata Bat | Otherworldly Sceptre | Slush Cannon | Epic Popper | Pest Hammer | Laser Finger Pointers",360
LuciiArmy_1,1093430787,2024/12/13,31,988,n,Unique,White sparkles,,Shatter,"Stop Hitting Yourself | Teddy Bloxpin | Flower Feet | Big Flower",170
lordygggh,717337802,2024/08/04,31,988,n,Legend,,Sunshine,,"Stop Hitting Yourself | Foam Finger | Chameleon Potion | Bunch of Balloons | Protest Sign: Noobs | Magical Umbrella | Beach Staff | Starblox Latte | Saxophone | Epicsauce",398
omarx1020,686922115,2024/09/03,31,988,n,Legend,Green sparkles,,,"Stop Hitting Yourself | R-80 | Bloxiade | Face Off Potion | Saxophone | Metal Guitar",152
luvarlia,857954074,2024/08/04,31,988,n,Seasoned,,,,"Silly Guitar | RedBLOX | Ultra-Flat Spray Paint | Tambourine | Green Epicsauce | Flute | Metal Guitar",036
kxgiri,333401979,2024/08/10,31,988,n,,,,Avalanche,"Egg Locater | Foam Finger | Magical Umbrella | R-80 | Green Epicsauce | BANG! | Pest Hammer",840
soephi3,4939045219,2025/02/04,31,987,n,,,8-Bit Tabby Cat,Disappear,"Alpaca Plushie | Squid Launcher | Otherworldly Sceptre | Flower Feet | Torch | Red Stratobloxxer | Hand Cannon | Princess Mischief's Wand",124
ivkosina12,2780930751,2024/08/13,31,987,n,GAMER,,,,"Director's Clapboard | R-80 | Otherworldly Sceptre | Monster Mash | Didgeridoo",191
Phoenixtrcks,184492085,2025/03/08,31,987,y,Zen,Black sparkles,Crow,Curse,"Snowball Cannon | Otherworldly Sceptre | Slingshot | Bonk Bat | Bloxxy Radar | Moneybag | BANG! | Staff of the Woodlands",840
mprudenc,435191965,2025/02/22,31,987,n,Creative,Watchful Aura,Dr. Ishmael,Ascend,"Earth's Might Staff | Super Slash Cat Claws | Cymbals",076
byRamallo123,1212986609,2024/05/29,31,987,n,Legend,Blue sparkles,Hedgehog,Disappear,"Chimp Friend",068
BTS_ARMYtataV,716906219,2025/01/21,31,987,n,,Shadow Feet,,,"Staff of the Woodlands | Pest Hammer",840
roblic2838,1413332946,2025/03/04,31,987,n,Wizard,Veil,,,"Epicsauce",218
champ_meli,352723829,2024/10/04,31,987,n,Missionary,,Scorch the Ever Faithful,Disappear,"Disguise Watch",840
CrimKx,2594613122,2025/02/14,31,987,n,Lovebird,Valentine's Crush,Pink Possum,Cupid's Arrow,"Stop Hitting Yourself | Silly Guitar | Valentine’s Throwing Stars | Rainbow Fireworks | Selfie Stick | R-80 | Berry Sweet Boba | Smashing Drum | Pest Hammer",840
nubthenoobLOL,293141606,2025/02/22,31,987,n,,Tinsel Ring,,,"Ultra-Flat Spray Paint | Chameleon Potion | Clown Bomb | Frost Potion",764
